First Origin,ZIP,Capacity
11,14219,4000
16,13601,7000
17,06457,7000
18,01887,7000
20,13209,4000
21,03784,4000
24,08691,4000
25,18067,1000
26,06457,4000
27,02554,1000
28,02771,7000
29,06279,9000
31,06457,15000
34,01862,1000
35,03561,1000
37,06279,4000
40,04005,1000
41,15801,4000
43,04072,1000
44,04730,4000
47,06279,1000
53,06279,1000
54,17339,4000
60,08810,999999
61,11714,999999
62,11714,999999
64,06279,15000
66,08832,4000
68,06615,7000
69,14219,4000
70,07307,15000
72,19454,999999
74,08832,4000
75,07801,9000
76,07307,7000
81,08007,15000
85,08810,15000
86,08691,15000
88,06615,999999
89,19154,999999
100,11211,4000
103,14845,9000
104,08817,1000
106,06279,4000
107,03784,4000
108,10913,7000
110,11236,1000
111,16063,1000
114,11101,9000
115,11101,4000
116,08832,1000
117,16063,4000
122,06279,15000
125,02379,4000
127,08832,4000
129,13209,4000
130,12144,4000
131,13209,999999
132,08832,999999
135,13403,4000
136,13209,1000
139,12901,4000
142,06279,15000
145,17339,7000
146,14586,4000
149,13209,4000
150,02379,15000
152,08810,7000
156,04005,4000
158,11714,1000
163,16063,1000
165,16415,4000
166,17339,4000
170,01760,999999
171,06279,999999
176,15639,15000
177,17756,4000
179,17922,4000
181,18067,999999
182,18067,999999
185,06279,15000
190,19113,9000
191,01887,7000
192,19454,4000
193,11239,4000
194,03053,15000
3011,01022,1000
3016,01505,1000
3017,01760,1000
3018,01887,1000
3020,19454,1000
3021,06279,1000
3023,10523,1000
3024,13209,1000
3026,17339,1000
3028,17339,1000
3029,06457,1000
3031,03561,1000
3034,06279,1000
3035,06279,1000
3037,07606,1000
3040,06279,1000
3041,04072,1000
3043,05452,1000
3044,06279,1000
3053,05452,1000
3054,10523,1000
3060,06279,1000
3061,06074,1000
3065,08832,1000
3066,06492,1000
3068,06615,1000
3069,12144,1000
3070,07307,1000
3071,08832,1000
3074,12144,1000
3075,06279,1000
3076,06615,1000
3081,03466,1000
3082,08832,1000
3085,01532,1000
3086,08810,1000
3101,16415,1000
3102,19341,1000
3103,02346,1000
3104,14219,1000
3106,06279,1000
3107,07307,1000
3108,06095,1000
3109,12144,1000
3112,13209,1000
3114,08817,1000
3116,04005,1000
3117,13748,1000
3118,11741,1000
3122,12144,1000
3127,14219,1000
3129,12901,1000
3131,13209,1000
3132,13209,1000
3135,01022,1000
3136,06279,1000
3139,06279,1000
3142,14219,1000
3145,08832,1000
3146,14586,1000
3149,13209,1000
3150,16063,1000
3152,17339,1000
3156,17339,1000
3158,15801,1000
3163,16323,1000
3165,16415,1000
3166,06279,1000
3171,04005,1000
3176,17057,1000
3177,06279,1000
3179,04005,1000
3181,18067,1000
3185,06457,1000
3190,19154,1000
3191,18067,1000
3192,03561,1000
3193,18067,1000
3194,08832,1000
